City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,inda silase,14.1031,38.2829,15.72,97,100,1.36,ET,1722879421
120,monchegorsk,67.9397,32.8739,15.71,56,26,1.69,RU,1722879421
121,talnakh,69.4865,88.3972,8.3,68,0,2.17,RU,1722879421
122,la'ie,21.6477,-157.9253,26.92,82,97,1.79,US,1722879421
123,papatowai,-46.5619,169.4708,5.07,85,15,3.31,NZ,1722879421
124,antigonish,45.6169,-61.9986,28.41,76,94,4.47,CA,1722879421
125,i-n-salah,27.1935,2.4607,43.0,9,14,3.23,DZ,1722879421
126,attnang-puchheim,48.0112,13.715,23.23,93,98,1.93,AT,1722879422
127,ranot,7.7777,100.3213,27.17,80,92,3.02,TH,1722879422
128,niafunke,15.9322,-3.9906,34.21,39,50,3.45,ML,1722879422
129,cedeira,43.6797,-8.0209,23.32,47,23,3.36,ES,1722879422
130,mossel bay,-34.1831,22.146,12.96,52,11,1.83,ZA,1722879422
131,paramonga,-10.6667,-77.8333,16.76,84,60,6.04,PE,1722879422
132,kirksville,40.1948,-92.5833,32.81,58,0,3.09,US,1722879292
133,bogande,12.9714,-0.1436,29.82,61,86,3.72,BF,1722879422
134,port alfred,-33.5906,26.891,14.07,58,1,5.08,ZA,1722879314
135,whitehorse,60.7161,-135.0538,18.39,48,0,3.09,CA,1722879197
136,happy valley-goose bay,53.3168,-60.3315,25.17,36,75,6.17,CA,1722879422
137,laguna,38.421,-121.4238,32.19,49,0,3.09,US,1722879422
138,adzope,6.1069,-3.8619,25.68,76,84,1.88,CI,1722879422
139,kurtamysh,54.9103,64.4319,17.55,90,100,3.97,RU,1722879422
140,warrnambool,-38.3833,142.4833,6.84,91,31,4.87,AU,1722879423
141,kapa'a,22.0752,-159.319,26.17,80,0,5.14,US,1722879326
142,dunedin,-45.8742,170.5036,4.89,91,32,2.72,NZ,1722879423
143,port elizabeth,-33.918,25.5701,12.16,62,0,4.12,ZA,1722879194
144,hithadhoo,-0.6,73.0833,28.92,71,100,1.96,MV,1722879423
145,ribeira grande,38.5167,-28.7,27.22,78,20,5.14,PT,1722879423
146,zagora,30.3484,-5.8365,42.21,6,0,5.19,MA,1722879423
147,nemuro,43.3236,145.575,16.43,100,98,0.49,JP,1722879423
148,dwarka,22.2394,68.9678,27.99,86,100,7.86,IN,1722879423
149,chernyshevskiy,63.0128,112.4714,15.47,55,83,1.72,RU,1722879423
150,margate,51.3813,1.3862,23.16,58,3,0.45,GB,1722879423
151,al hada,21.3675,40.2869,25.66,60,90,3.24,SA,1722879423
152,fisterra,42.9049,-9.2629,31.28,95,40,4.6,ES,1722879423
153,metlili chaamba,32.2667,3.6333,39.52,13,0,1.54,DZ,1722879423
154,piacabucu,-10.4056,-36.4344,24.78,78,14,5.32,BR,1722879424
155,codrington,-38.2667,141.9667,5.42,96,24,4.47,AU,1722879424
156,arraial do cabo,-22.9661,-42.0278,28.98,61,0,6.17,BR,1722879424
157,blackmans bay,-43.0167,147.3167,9.29,75,96,0.89,AU,1722879424
158,conduaga,8.862,117.4893,25.75,90,59,2.28,PH,1722878876
159,marka,1.7159,44.7717,24.34,81,10,8.69,SO,1722879424
160,leca da palmeira,41.191,-8.7003,29.66,73,63,7.66,PT,1722879424
161,longyearbyen,78.2186,15.6401,10.91,76,20,7.72,SJ,1722879424
162,praia da vitoria,38.7333,-27.0667,28.14,69,40,4.36,PT,1722879424
163,tughyl,47.7252,84.2063,22.27,48,7,2.21,KZ,1722879424
164,susanville,40.4163,-120.653,28.23,29,0,2.24,US,1722879424
165,guerrero negro,27.9769,-114.0611,27.74,49,92,4.09,MX,1722879424
166,savanna-la-mar,18.219,-78.1332,32.18,64,91,3.35,JM,1722879424
167,newnham,-41.3833,147.1333,9.06,93,20,5.14,AU,1722879424
168,pitomaca,45.9506,17.2294,21.58,66,92,5.16,HR,1722879424
169,ca mau,9.1769,105.15,25.65,90,82,1.63,VN,1722879424
170,wailua homesteads,22.0669,-159.378,25.42,79,0,5.14,US,1722879425
171,murray bridge,-35.1167,139.2667,7.41,89,22,1.86,AU,1722879425
172,noumea,-22.2763,166.4572,13.99,68,50,3.37,NC,1722879425
173,callao,-12.0667,-77.15,20.95,87,96,6.39,PE,1722879425
174,vilyuchinsk,52.9306,158.4028,12.15,87,100,0.58,RU,1722879425
175,nova sintra,14.8667,-24.7167,27.65,67,16,1.63,CV,1722878845
176,foca,38.6703,26.7566,30.91,67,0,2.66,TR,1722879425
177,papao,-17.75,-149.55,23.82,67,98,3.53,PF,1722879425
178,alghero,40.5589,8.3181,28.05,61,0,3.6,IT,1722879425
179,chardara,41.2547,67.9692,27.97,26,0,6.0,KZ,1722879425
180,kavaratti,10.5669,72.642,27.22,86,100,5.01,IN,1722879425
181,gandorhun,7.5,-11.8333,25.01,89,83,2.61,SL,1722879425
182,coxen hole,16.3244,-86.5366,30.6,70,0,3.09,HN,1722879425
183,grand falls-windsor,48.9332,-55.6649,27.5,76,95,2.6,CA,1722879425
184,mount isa,-20.7333,139.5,16.87,67,20,5.66,AU,1722879284
185,puerto baquerizo moreno,-0.9,-89.6,22.55,88,100,2.57,EC,1722879426
186,sampang,-7.1872,113.2394,25.61,76,52,3.82,ID,1722879426
187,thief river falls,48.1191,-96.1812,18.53,77,0,3.6,US,1722879426
188,haiku-pauwela,20.9219,-156.3051,24.59,78,78,2.68,US,1722879354
189,gilgit,35.9221,74.3087,29.19,50,72,2.59,PK,1722879426
190,lafia,8.4833,8.5167,25.05,83,85,2.19,NG,1722879426
191,kuqa,41.7278,82.9364,31.5,21,67,1.85,CN,1722879426
192,hawaiian paradise park,19.5933,-154.9731,22.63,92,100,3.09,US,1722879248
193,terrace,54.5163,-128.6035,26.79,35,0,5.66,CA,1722879426
194,crane,31.3974,-102.3501,31.59,33,66,3.42,US,1722879426
195,taroa,8.7058,171.2275,28.07,77,65,4.93,MH,1722879427
196,iskateley,67.6803,53.1512,7.77,80,4,5.98,RU,1722879273
197,xining,36.6167,101.7667,15.23,84,18,1.39,CN,1722879427
198,inhambane,-23.865,35.3833,22.01,70,83,8.65,MZ,1722879345
199,antofagasta,-23.65,-70.4,14.6,83,25,4.47,CL,1722879427
200,dara,15.3484,-15.4799,29.98,53,100,2.94,SN,1722879427
201,kongsvinger,60.1905,11.9977,23.37,72,96,1.51,NO,1722879427
202,cajamarca,-7.1638,-78.5003,19.04,48,75,3.6,PE,1722879182
203,tual,-5.6667,132.75,25.27,86,100,9.3,ID,1722879427
204,gisborne,-38.6533,178.0042,5.84,82,79,2.82,NZ,1722879428
205,ad dilam,23.9915,47.1627,39.23,6,49,4.08,SA,1722879428
206,boende,-0.2167,20.8667,25.63,69,100,1.74,CD,1722879428
207,laojunmiao,39.8333,97.7333,23.26,28,85,3.88,CN,1722879428
208,magadan,59.5667,150.8,11.09,89,100,1.93,RU,1722879428
209,invercargill,-46.4,168.35,3.34,91,38,1.34,NZ,1722879151
210,nahiyat ash shinafiyah,31.5874,44.6602,38.5,11,0,2.43,IQ,1722879428
211,portland,45.5234,-122.6762,24.47,60,20,1.79,US,1722879217
212,gadzhiyevo,69.2551,33.3362,12.33,75,0,3.46,RU,1722879428
213,sao joao da barra,-21.6403,-41.0511,28.05,78,0,7.63,BR,1722879428
214,farrukhnagar,17.0778,78.2011,25.84,82,100,3.59,IN,1722879428
215,nazca,-14.8333,-74.95,24.5,34,0,4.12,PE,1722879428
216,mariehamn,60.0973,19.9348,19.92,73,0,2.57,AX,1722879428
217,vorkuta,67.5,64.0,7.71,69,12,3.42,RU,1722879428
218,la ronge,55.1001,-105.2842,19.14,42,100,2.57,CA,1722879429
219,muli,2.9167,73.5667,28.25,72,100,2.04,MV,1722879429
